20200228_121924A.jpg,car,2,chair,1,person,4,motorcycle,4
20200228_121826A.jpg,person,10,motorcycle,5,car,1,bus,1
20200228_121729A.jpg,person,9,motorcycle,7,chair,6
20200228_121815A.jpg,person,13,motorcycle,12,car,1,bicycle,2,boat,1
20200228_121838A.jpg,person,5,car,3,motorcycle,4,kite,1
20200228_121935A.jpg,person,4,motorcycle,7,car,3
20200228_121901A.jpg,car,5,person,4,motorcycle,3,truck,2
20200228_121740A.jpg,person,4,motorcycle,8,chair,1,bicycle,1
20200228_121803A.jpg,person,13,car,8,motorcycle,8,truck,1,bicycle,1,backpack,1
20200228_121849A.jpg,person,2,motorcycle,5,car,3
20200228_121752A.jpg,potted plant,1
20200228_121912A.jpg,person,5,motorcycle,2,truck,1,car,6
20200228_121403A_snap.jpg,potted plant,7,car,1,motorcycle,2
